mdate,ticker,mret,mvol
2010-07,TSLA,-0.16323959537473942,0.29227581506805483
2010-08,TSLA,-0.023069210021424147,0.15119587629255993
2010-09,TSLA,0.04774124093201593,0.15450219139590177
2010-10,TSLA,0.07006375974321344,0.0700902609501437
2010-11,TSLA,0.6176739778785987,0.2580161041910373
2010-12,TSLA,-0.2462496143328099,0.21797283099537523
2011-01,TSLA,-0.09500563681304475,0.1389042058310739
2011-02,TSLA,-0.008713753575907535,0.15999006840709554
2011-03,TSLA,0.1615739498804014,0.17475567427453145
2011-04,TSLA,-0.005405443022944767,0.1127129672175169
2011-05,TSLA,0.09202896716639253,0.14464117612781022
2011-06,TSLA,-0.03351023032469225,0.13486827567693432
2011-07,TSLA,-0.03295578133522259,0.0865024041058365
2011-08,TSLA,-0.12176071914561337,0.1931589004804594
2011-09,TSLA,-0.014147164977563187,0.1290487880189252
2011-10,TSLA,0.20418211035545086,0.12463650706536619
2011-11,TSLA,0.11474289718428232,0.17885921831702936
2011-12,TSLA,-0.12767256928648685,0.12073458477411142
2012-01,TSLA,0.017857184597090958,0.27078028393214504
2012-02,TSLA,0.1492948075600422,0.0959085725500625
2012-03,TSLA,0.11463630284939086,0.1233487908244604
2012-04,TSLA,-0.11036520297462393,0.12582457642973716
2012-05,TSLA,-0.10956834290593898,0.19161706849393922
2012-06,TSLA,0.06067793149983802,0.14920910135945784
2012-07,TSLA,-0.1236816401004055,0.15933614092895193
2012-08,TSLA,0.04011666337123865,0.14567007323708264
2012-09,TSLA,0.02664795766314687,0.17761498498927666
2012-10,TSLA,-0.03927595989942778,0.08627986385253386
2012-11,TSLA,0.20227515572428767,0.12049882742589076
2012-12,TSLA,0.0014784489905490528,0.07585400055413997
2013-01,TSLA,0.10746968839037407,0.07570249216870256
2013-02,TSLA,-0.07144758534921303,0.14282957604240248
2013-03,TSLA,0.08785529450444152,0.09773265553343441
2013-04,TSLA,0.42491425677649275,0.20283488491144827
2013-05,TSLA,0.8107056341854519,0.3504931892508476
2013-06,TSLA,0.09819967633995086,0.1296024673733973
2013-07,TSLA,0.2507451912998182,0.2119820055684077
2013-08,TSLA,0.25856412362283443,0.18211962118204622
2013-09,TSLA,0.14420120293885197,0.09999941588217591
2013-10,TSLA,-0.17288097826853543,0.14517130192806013
2013-11,TSLA,-0.20420161678619397,0.23606149257654474
2013-12,TSLA,0.18188251028845137,0.20538090470136106
2014-01,TSLA,0.20594299547050676,0.19329110077949122
2014-02,TSLA,0.34948458691830786,0.19538783955551628
2014-03,TSLA,-0.14852340399506203,0.09872141634865639
2014-04,TSLA,-0.002686483938788009,0.168253793631748
