Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,5.1579999923706055,6.084000110626221,4.659999847412109,4.765999794006348,4.765999794006348,85
2010-06-29,3.799999952316284,5.0,3.507999897003174,4.7779998779296875,4.7779998779296875,93
2010-07-01,5.0,5.184000015258789,4.053999900817871,4.392000198364258,4.392000198364258,41
2010-07-02,4.599999904632568,4.619999885559082,3.742000102996826,3.8399999141693115,3.8399999141693115,25
2010-07-06,4.0,4.0,3.1659998893737793,3.2219998836517334,3.2219998836517334,34
2010-07-07,3.2799999713897705,3.3259999752044678,2.996000051498413,3.1600000858306885,3.1600000858306885,34
2010-07-08,3.2279999256134033,3.503999948501587,3.114000082015991,3.492000102996826,3.492000102996826,38
2010-07-09,3.5160000324249268,3.5799999237060547,3.309999942779541,3.4800000190734863,3.4800000190734863,20
2010-07-12,3.5899999141693115,3.614000082015991,3.4000000953674316,3.4100000858306885,3.4100000858306885,11





2010-07-22,4.099999904632568,4.25,4.073999881744385,4.199999809265137,4.199999809265137,4
2010-07-23,4.23799991607666,4.311999797821045,4.211999893188477,4.257999897003174,4.257999897003174,3
2010-07-26,4.300000190734863,4.300000190734863,4.059999942779541,4.190000057220459,4.190000057220459,4
2010-07-27,4.182000160217285,4.236000061035156,4.052000045776367,4.110000133514404,4.110000133514404,3
2010-07-28,4.110000133514404,4.179999828338623,4.1020002365112305,4.144000053405762,4.144000053405762,2
2010-07-29,4.1539998054504395,4.176000118255615,4.0,4.070000171661377,4.070000171661377,3
2010-07-30,4.039999961853027,4.0879998207092285,3.9100000858306885,3.98799991607666,3.98799991607666,2
2010-08-02,4.099999904632568,4.193999767303467,4.065999984741211,4.184000015258789,4.184000015258789,3
2010-08-03,4.199999809265137,4.389999866485596,4.164000034332275,4.389999866485596,4.389999866485596,6
2010-08-04,4.389999866485596,4.435999870300293,4.170000076293945,4.251999855041504,4.251999855041504,4
2010-08-05,4.308000087738037,4.309999942779541,4.010000228881836,4.090000152587891,4.090000152587891,3
2010-08-06,4.019999980926514,4.0320000648498535,3.9040000438690186,3.9179999828338623,3.9179999828338623,3
2010-08-09,3.9800000190734863,3.996000051498413,3.890000104904175,3.9200000762939453,3.9200000762939453,4
2010-08-10,3.930000066757202,3.930000066757202,3.7639999389648438,3.805999994277954,3.805999994277954,6
2010-08-11,3.73799991607666,3.7760000228881836,3.569999933242798,3.5799999237060547,3.5799999237060547,3
2010-08-12,3.559999942779541,3.5799999237060547,3.4779999256134033,3.5199999809265137,3.5199999809265137,3
2010-08-13,3.635999917984009,3.690000057220459,3.5320000648498535,3.6640000343322754,3.6640000343322754,3
2010-08-16,3.690000057220459,3.759999990463257,3.6519999504089355,3.75600004196167,3.75600004196167,2
2010-08-17,3.7920000553131104,3.880000114440918,3.75600004196167,3.8299999237060547,3.8299999237060547,2
