date,ticker,price
2005-09-27,AAL,18.1949
2005-09-28,AAL,19.3262
2005-09-29,AAL,19.0528
2005-09-30,AAL,19.807
2005-10-03,AAL,20.2689
2005-10-04,AAL,20.8912
2005-10-06,AAL,21.2871
2005-10-07,AAL,20.8817
2005-10-10,AAL,20.9383
2005-10-11,AAL,20.7215
2005-10-12,AAL,20.5141
2005-10-13,AAL,20.4669
2005-10-14,AAL,20.9948
2005-10-17,AAL,20.8157
2005-10-18,AAL,20.2595
2005-10-19,AAL,20.1558
2005-10-20,AAL,19.8164
2005-10-21,AAL,20.7026
2005-10-24,AAL,21.0326
2005-10-25,AAL,20.7403
2005-10-26,AAL,21.042
2005-10-27,AAL,21.2682
2005-10-28,AAL,22.5315
2005-10-31,AAL,23.2669
2005-11-01,AAL,23.5874
2005-11-02,AAL,25.9725
2005-11-03,AAL,26.2742
2005-11-04,AAL,27.151
2005-11-07,AAL,27.2735
2005-11-08,AAL,27.7449
2005-11-09,AAL,29.5078
2005-11-10,AAL,30.9219
2005-11-11,AAL,31.4404
2005-11-15,AAL,31.9401
2005-11-16,AAL,31.6761
2005-11-17,AAL,32.3549
2005-11-18,AAL,31.1576
2005-11-21,AAL,30.1583
2005-11-22,AAL,30.6391
2005-11-23,AAL,31.1482
2005-11-25,AAL,30.9691
2005-11-28,AAL,31.497
2005-11-29,AAL,31.0162
2005-11-30,AAL,31.6667
2005-12-01,AAL,32.3172
2005-12-05,AAL,30.4977
2005-12-06,AAL,31.695
2005-12-07,AAL,32.0061
2005-12-08,AAL,31.7327
2005-12-09,AAL,31.9401
2005-12-12,AAL,31.8269
2005-12-13,AAL,31.3461
2005-12-14,AAL,31.6196
2005-12-15,AAL,31.7044
2005-12-16,AAL,33.1374
2005-12-19,AAL,33.2316
2005-12-20,AAL,33.2976
2005-12-21,AAL,34.4195
2005-12-22,AAL,34.7212
2005-12-23,AAL,35.5696
2005-12-27,AAL,35.3151
2005-12-28,AAL,35.3057
2005-12-29,AAL,35.2397
2005-12-30,AAL,35.0134
2006-01-03,AAL,35.3057
2006-01-04,AAL,36.9555
2006-01-05,AAL,37.4363
2006-01-06,AAL,36.7669
2006-01-09,AAL,36.3992
2006-01-10,AAL,35.6356
2006-01-11,AAL,32.8074
2006-01-12,AAL,32.9865
2006-01-13,AAL,32.1003
2006-01-17,AAL,28.2822
2006-01-18,AAL,29.225
2006-01-19,AAL,28.6499
2006-01-20,AAL,27.5658
2006-01-23,AAL,27.7355
2006-01-24,AAL,29.2438
2006-01-25,AAL,29.225
2006-01-26,AAL,28.5179
2006-01-27,AAL,27.2358
2006-01-30,AAL,27.3395
2006-01-31,AAL,27.66
2006-02-01,AAL,27.6977
2006-02-02,AAL,28.2917
2006-02-03,AAL,27.858
2006-02-06,AAL,27.594
2006-02-07,AAL,27.3395
2006-02-08,AAL,28.2728
2006-02-10,AAL,28.2822
2006-02-13,AAL,29.3852
2006-02-14,AAL,30.9219
2006-02-15,AAL,31.8175
2006-02-17,AAL,31.2519
2006-02-21,AAL,30.6391
2006-02-22,AAL,31.7138
2006-02-23,AAL,32.666
2006-02-24,AAL,31.6007
2006-02-27,AAL,31.4404
2006-02-28,AAL,31.1953
2006-03-01,AAL,30.9219
2006-03-02,AAL,31.0162
2006-03-03,AAL,30.0452
2006-03-06,AAL,29.9886
2006-03-07,AAL,30.5543
2006-03-08,AAL,31.5441
2006-03-09,AAL,30.9691
2006-03-10,AAL,31.3556
2006-03-13,AAL,31.1576
2006-03-14,AAL,32.1475
2006-03-15,AAL,33.0619
2006-03-16,AAL,33.1562
2006-03-17,AAL,33.4013
2006-03-20,AAL,34.8343
2006-03-21,AAL,34.8626
2006-03-22,AAL,37.3326
2006-03-23,AAL,36.8706
2006-03-24,AAL,36.4935
2006-03-27,AAL,36.9272
2006-03-28,AAL,35.4188
2006-03-29,AAL,35.5508
2006-03-30,AAL,35.3434
2006-04-03,AAL,37.3326
2006-04-04,AAL,37.2194
2006-04-05,AAL,37.2194
2006-04-06,AAL,37.8511
2006-04-07,AAL,37.3797
2006-04-10,AAL,35.7488
2006-04-11,AAL,35.3528
2006-04-12,AAL,35.3528
2006-04-13,AAL,36.4181
2006-04-17,AAL,34.7872
2006-04-18,AAL,34.9286
2006-04-19,AAL,36.239
2006-04-20,AAL,35.8242
2006-04-21,AAL,35.5696
2006-04-24,AAL,39.5009
2006-04-25,AAL,40.2833
2006-04-26,AAL,40.5285
2006-04-27,AAL,41.7635
2006-04-28,AAL,40.783
2006-05-01,AAL,41.1789
2006-05-02,AAL,42.8005
2006-05-03,AAL,45.063
2006-05-04,AAL,45.2987
2006-05-05,AAL,45.8078
2006-05-08,AAL,44.5917
2006-05-09,AAL,48.6737
2006-05-10,AAL,47.2313
2006-05-11,AAL,46.3075
2006-05-12,AAL,45.2704
2006-05-15,AAL,46.9014
2006-05-16,AAL,45.1102
2006-05-17,AAL,43.96
2006-05-18,AAL,44.2146
2006-05-19,AAL,44.6859
2006-05-22,AAL,44.3089
2006-05-23,AAL,42.6025
2006-05-24,AAL,41.3109
2006-05-25,AAL,41.3864
2006-05-26,AAL,43.7149
2006-05-30,AAL,42.0557
2006-05-31,AAL,44.026
2006-06-01,AAL,43.6018
2006-06-02,AAL,43.2247
2006-06-05,AAL,42.0274
2006-06-07,AAL,44.2051
2006-06-08,AAL,44.4785
2006-06-09,AAL,45.0819
2006-06-12,AAL,41.7163
2006-06-13,AAL,39.1709
2006-06-14,AAL,40.0571
2006-06-15,AAL,42.8759
2006-06-16,AAL,42.6119
2006-06-19,AAL,43.8092
2006-06-20,AAL,44.7519
2006-06-21,AAL,46.1378
2006-06-22,AAL,46.694
2006-06-23,AAL,47.7687
2006-06-26,AAL,46.7977
2006-06-27,AAL,45.2893
2006-06-28,AAL,44.5917
2006-06-29,AAL,45.3553
2006-06-30,AAL,47.6462
2006-07-03,AAL,49.1168
2006-07-05,AAL,50.4367
2006-07-06,AAL,52.4541
2006-07-07,AAL,51.6717
2006-07-10,AAL,52.6521
2006-07-11,AAL,50.3895
2006-07-12,AAL,49.5411
2006-07-14,AAL,44.4974
2006-07-17,AAL,44.8462
2006-07-18,AAL,46.0058
2006-07-19,AAL,48.3155
2006-07-20,AAL,47.3256
2006-07-24,AAL,47.1842
2006-07-25,AAL,48.0233
2006-07-26,AAL,48.2024
2006-07-27,AAL,45.2422
2006-07-28,AAL,45.4496
2006-07-31,AAL,43.0739
2006-08-01,AAL,41.047
2006-08-02,AAL,41.3675
2006-08-03,AAL,43.894
2006-08-04,AAL,42.3762
2006-08-07,AAL,40.6039
2006-08-09,AAL,38.445
2006-08-10,AAL,38.1999
2006-08-11,AAL,35.0606
2006-08-14,AAL,35.9562
2006-08-16,AAL,40.5379
2006-08-17,AAL,40.3399
2006-08-18,AAL,39.6894
2006-08-21,AAL,37.9265
2006-08-22,AAL,39.1238
2006-08-23,AAL,38.5487
2006-08-24,AAL,37.9171
2006-08-25,AAL,37.2194
2006-08-28,AAL,39.416
2006-08-29,AAL,39.878
2006-08-30,AAL,40.9621
2006-08-31,AAL,39.8308
2006-09-01,AAL,39.3595
2006-09-05,AAL,40.3493
2006-09-06,AAL,38.2376
2006-09-07,AAL,38.5958
2006-09-08,AAL,38.8032
2006-09-11,AAL,38.1527
2006-09-12,AAL,42.0463
2006-09-13,AAL,42.3291
2006-09-14,AAL,43.8658
